site,burn,treatment,plot,plot_order,tag,spp,dbh,ht,cbh,cr,clump_tags,defect_top,defect_mid,defect_low,clump_sap,notes
hare,nb,np,1,1,3893,to,17.2,,4.6,,3894,,,,6,
hare,nb,np,1,2,3894,to,20.6,,5.4,,3893,,,,6,
hare,nb,np,1,3,3895,rw,114.9,,12.7,,,,,,,
hare,nb,np,1,4,3896,gf,10.4,,5.6,,,,,,,
hare,nb,np,1,5,3897,rw,28.9,,5.3,,,,,,,
hare,nb,np,1,6,3898,df,128.2,,20.7,,,,,conk,,
hare,nb,np,1,7,3899,rw,24.6,,3,,,,,,"3,3",
hare,nb,np,1,8,3901,rw,52,,7,,3900,,,,3,
hare,nb,np,1,9,3900,rw,44.2,,1.5,,3901,,,,3,
hare,nb,np,1,10,3902,rw,13,,5.6,,,,,,,
hare,nb,np,1,11,3903,rw,22.9,,7.5,,"3904,3905",,,,"4,7",
hare,nb,np,1,12,3904,rw,40,,6.5,,"3903,3905",,,,"4,7",
hare,nb,np,1,13,3905,rw,119.8,,13.2,,"3903,3904",,,,"4,7",
hare,nb,np,1,14,3906,rw,19.1,,4.4,,,,,,,
hare,nb,np,1,15,3907,rw,127.6,,8.4,,3908,,,,,
hare,nb,np,1,16,3908,rw,17.6,,3.1,,3907,,,,,
hare,nb,np,1,17,3909,to,10.7,,3.6,,3910,,,,,split @ BH
hare,nb,np,1,18,3910,to,11.3,,3.8,,3909,,,,,split @ BH
